Word,Start,End,Length,UtteranceName,Speaker,Filename,Global_start,Global_end
ta,0.22,0.31,0.09,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.22,906.31
c'est,0.16,0.22,0.06,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.16,906.22
Ah,0.13,0.16,0.03,99_Parent_CA-MB-LB,Parent,CA-MB-LB,906.13,906.16
jeu,26.92,27.0,0.0799999999999983,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.92,931.0
ce,26.89,26.92,0.030000000000001137,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.89,930.92
de,26.86,26.89,0.030000000000001137,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.86,930.89
penses,26.76,26.86,0.09999999999999787,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.76,930.86
tu,26.73,26.76,0.030000000000001137,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.73,930.76
que,26.7,26.73,0.030000000000001137,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.7,930.73
ce,26.67,26.7,0.029999999999997584,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,930.67,930.7
heu,17.82,26.67,8.850000000000001,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,921.82,930.67
dise,17.17,17.69,0.5199999999999996,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,921.17,921.69
me,16.95,17.17,0.22000000000000242,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,920.95,921.17
tu,16.61,16.95,0.33999999999999986,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,920.61,920.95
que,16.5,16.61,0.10999999999999943,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,920.5,920.61
faut,16.21,16.39,0.17999999999999972,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,920.21,920.39
exemple,15.31,15.91,0.5999999999999996,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,919.31,919.91
par,14.9,15.2,0.29999999999999893,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,918.9,919.2
heum,14.07,14.52,0.4499999999999993,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,918.07,918.52
peu,13.86,14.07,0.21000000000000085,99_Parent_CA-LJ-MJ,Parent,CA-LJ-MJ,917.86,918.07
